,Component 1,Component 2,Prediction
205,0.9873341246088645,-0.21295947831842257,M
206,1.0989079449733283,-0.30966268339132164,M
207,2.3095326344508837,-1.3214892871445376,S
208,2.8533103077988287,-0.5342497418036122,XXS
209,2.026901857304742,-0.08437957371778582,S
210,0.3287735229687757,-0.9201683066871369,M
211,2.3326324794313305,-0.08296811813008309,S
212,-1.2115354583378513,-1.386941152420499,XL
213,-4.5252894202071685,-1.3552239509091637,XXXL
214,1.0931029309884757,-1.5451820901487563,M
215,0.17935508998146013,1.1651821314910544,M
216,3.140852136910263,-0.020268472499081702,XXS
217,-1.3049606229846842,-1.0485693602061594,XL
218,1.8535297546149434,0.5237828705615307,S
219,0.568522518227745,1.6000782776966789,M
220,0.8973988280387626,0.8286876565788157,M
221,-0.6379589640050493,1.358767392718467,XL
222,0.28159389098681875,-0.11607742216390915,M
223,-1.3758533018175956,-0.28082521414132805,XL
224,0.9030033564696078,-0.13087259296249681,M
225,-0.5775818655682764,-0.20050748653633366,L
226,-4.260652655928634,1.3724006505414161,XXXL
227,1.5320057599763677,0.05870849104865494,S
228,1.2535181900749877,0.04268071574397894,M
229,0.32227503251837125,0.5549635188280231,M
230,-4.467353584977545,0.07305715319805661,XXXL
231,2.661508789242348,-0.8543587392479467,S
232,1.2842109730794053,1.4855781395681773,M
233,0.8459614832595429,-2.074725273043565,M
234,1.0180670449108031,0.47569954464750275,M
235,-0.6809953887422446,0.9097207885102675,XL
236,-1.3479970477218797,-1.4976159644143594,XL
237,-2.1090772105163778,-1.6101680937103202,XXXL
238,0.8831527567143642,-2.1069596747345316,M
239,-4.185616769850961,-0.6484809842548473,XXXL
240,1.9964496971518544,-0.08643574210150085,S
241,-0.9717864630788818,1.1333054319633167,XL
242,1.0526624123084525,-0.7753817757002097,M
243,-0.13891965943191323,-0.03745816077940113,M
244,-0.38671444632887575,1.3894114877401211,L
245,1.358352897137518,-0.019731919254238728,M
246,0.3090775660635551,1.310147513559596,M
247,-4.206361331625764,-2.108996490053034,XXXL
248,0.3495180847435787,0.5403471991110497,M
249,-0.7709306853123457,1.95136792340751,XL
250,-1.6941280512309689,-1.4834655064117839,XL
251,-0.3618266773093113,1.5967895048068803,L
252,-1.8435464842182847,0.6018849317664077,XL
253,-2.44290470959021,-1.8356300544654702,XXXL
254,3.218483929045108,-0.8223031886385946,XXS
255,-1.6297338628484621,-0.7760778269614551,XL
256,1.13544587926012,1.6145157463320428,M
257,-0.2437543664944437,0.024954474218816608,M
258,-1.3237626178703454,0.666174884066726,XL
259,0.689803936970294,0.04491573520930833,M
260,-1.8115470228778072,-1.8680433072380511,XXXL
261,-5.358156223854137,-0.18446035816644568,XXXL
262,1.683366759852825,1.1486178029415355,S
263,-4.6301241272697,-1.292811315910946,XXXL
264,1.2535181900749877,0.04268071574397894,M
265,-1.045515670820494,-0.7586385960690764,XL
266,-2.7566409860572687,1.3558363219918972,XXXL
